Time,Linear
1.04167E-05,-0.09741
2.08333E-05,-0.10413
0.00003125,-0.11139
4.16667E-05,-0.11905
5.20833E-05,-0.12674
0.0000625,-0.13394
7.29167E-05,-0.14035
8.33333E-05,-0.14633
0.00009375,-0.15253
0.000104167,-0.15909
0.000114583,-0.16547
0.000125,-0.17105
0.000135417,-0.17581
0.000145833,-0.1803
0.00015625,-0.18515
0.000166667,-0.19073
0.000177083,-0.19739
0.0001875,-0.20535
0.000197917,-0.21475
0.000208333,-0.22534
0.00021875,-0.23676
0.000229167,-0.24908
0.000239583,-0.26279
0.00025,-0.27792
0.000260417,-0.29361
0.000270833,-0.30893
0.00028125,-0.32425
0.000291667,-0.34088
0.000302083,-0.35907
0.0003125,-0.37576
0.000322917,-0.38672
0.000333333,-0.39005
0.00034375,-0.3884
0.000354167,-0.38626
0.000364583,-0.38586
0.000375,-0.38626
0.000385417,-0.38596
0.000395833,-0.38501
0.00040625,-0.38452
0.000416667,-0.3848
0.000427083,-0.38522
0.0004375,-0.38528
0.000447917,-0.38544
0.000458333,-0.3862
0.00046875,-0.38742
0.000479167,-0.38864
0.000489583,-0.38968
0.0005,-0.39072
0.000510417,-0.39178
0.000520833,-0.39322
0.00053125,-0.39502
0.000541667,-0.39682
0.000552083,-0.39792
0.0005625,-0.3989
0.000572917,-0.40125
0.000583333,-0.40482
0.00059375,-0.40622
0.000604167,-0.40002
0.000614583,-0.384
0.000625,-0.36142
0.000635417,-0.33774
0.000645833,-0.31558
0.00065625,-0.29367
0.000666667,-0.27017
0.000677083,-0.24557
0.0006875,-0.22174
0.000697917,-0.19916
0.000708333,-0.17664
0.00071875,-0.15356
0.000729167,-0.13092
0.000739583,-0.11008
0.00075,-0.09146
0.000760417,-0.07501
0.000770833,-0.06134
0.00078125,-0.05179
0.000791667,-0.04688
0.000802083,-0.04599
0.0008125,-0.04834
0.000822917,-0.05362
0.000833333,-0.06192
0.00084375,-0.07297
0.000854167,-0.08618
0.000864583,-0.10132
0.000875,-0.11832
0.000885417,-0.13693
0.000895833,-0.15643
0.00090625,-0.17593
0.000916667,-0.19495
0.000927083,-0.21329
0.0009375,-0.23041
0.000947917,-0.24573
0.000958333,-0.25903
0.00096875,-0.27057
0.000979167,-0.28091
0.000989583,-0.2908
0.001,-0.30063
0.001010417,-0.31073
0.001020833,-0.32095
0.00103125,-0.33102
0.001041667,-0.3407
0.001052083,-0.34995
0.0010625,-0.35864
0.001072917,-0.36652
0.001083333,-0.37344
0.00109375,-0.37973
0.001104167,-0.3855
0.001114583,-0.39023
0.001125,-0.39276
0.001135417,-0.39307
0.001145833,-0.39243
0.00115625,-0.3924
0.001166667,-0.39273
0.001177083,-0.39258
0.0011875,-0.39178
0.001197917,-0.39102
0.001208333,-0.39038
0.00121875,-0.38892
0.001229167,-0.38623
0.001239583,-0.38342
0.00125,-0.38159
0.001260417,-0.3797
0.001270833,-0.37631
0.00128125,-0.37216
0.001291667,-0.36926
0.001302083,-0.36765
0.0013125,-0.3653
0.001322917,-0.36191
0.001333333,-0.36044
0.00134375,-0.36237
0.001354167,-0.36469
0.001364583,-0.36456
0.001375,-0.36487
0.001385417,-0.37012
0.001395833,-0.37814
0.00140625,-0.38171
0.001416667,-0.3804
0.001427083,-0.38315
0.0014375,-0.39407
0.001447917,-0.40317
0.001458333,-0.40063
0.00146875,-0.3959
0.001479167,-0.40735
0.001489583,-0.42908
0.0015,-0.42346
0.001510417,-0.35895
0.001520833,-0.2467
0.00153125,-0.12411
0.001541667,-0.00497
0.001552083,0.13138
0.0015625,0.29431
0.001572917,0.44434
0.001583333,0.52481
0.00159375,0.52527
0.001604167,0.49426
0.001614583,0.48386
0.001625,0.49908
0.001635417,0.51071
0.001645833,0.50381
0.00165625,0.49316
0.001666667,0.49496
0.001677083,0.50372
0.0016875,0.50516
0.001697917,0.4986
0.001708333,0.49539
0.00171875,0.49963
0.001729167,0.5036
0.001739583,0.50143
0.00175,0.49747
0.001760417,0.49802
0.001770833,0.50143
0.00178125,0.50208
0.001791667,0.49945
0.001802083,0.49808
0.0018125,0.49985
0.001822917,0.5015
0.001833333,0.50061
0.00184375,0.49896
0.001854167,0.49921
0.001864583,0.50055
0.001875,0.50076
0.001885417,0.49976
0.001895833,0.49936
0.00190625,0.49997
0.001916667,0.50046
0.001927083,0.50012
0.0019375,0.49973
0.001947917,0.49988
0.001958333,0.50012
0.00196875,0.50006
0.001979167,0.49991
0.001989583,0.50003
0.002,0.50009
0.002010417,0.49985
0.002020833,0.49979
0.00203125,0.50015
0.002041667,0.50034
0.002052083,0.49985
0.0020625,0.49945
0.002072917,0.49997
0.002083333,0.5007
0.00209375,0.50027
0.002104167,0.49924
0.002114583,0.49942
0.002125,0.50067
0.002135417,0.50076
0.002145833,0.49951
0.00215625,0.49985
0.002166667,0.5007
0.002177083,0.48871
0.0021875,0.44336
0.002197917,0.3558
0.002208333,0.2406
0.00221875,0.12518
0.002229167,0.02609
0.002239583,-0.06226
0.00225,-0.15283
0.002260417,-0.24503
0.002270833,-0.32059
0.00228125,-0.36206
0.002291667,-0.37009
0.002302083,-0.36227
0.0023125,-0.35611
0.002322917,-0.35672
0.002333333,-0.35934
0.00234375,-0.35953
0.002354167,-0.35852
0.002364583,-0.35916
0.002375,-0.36179
0.002385417,-0.36435
0.002395833,-0.36578
0.00240625,-0.36731
0.002416667,-0.36984
0.002427083,-0.3725
0.0024375,-0.37375
0.002447917,-0.37384
0.002458333,-0.37448
0.00246875,-0.37662
0.002479167,-0.37924
0.002489583,-0.38104
0.0025,-0.38226
0.002510417,-0.38394
0.002520833,-0.38614
0.00253125,-0.38788
0.002541667,-0.38864
0.002552083,-0.38931
0.0025625,-0.39072
0.002572917,-0.39243
0.002583333,-0.39337
0.00259375,-0.39383
0.002604167,-0.39484
0.002614583,-0.39655
0.002625,-0.39786
0.002635417,-0.39841
0.002645833,-0.39926
0.00265625,-0.40134
0.002666667,-0.40353
0.002677083,-0.40436
0.0026875,-0.40463
0.002697917,-0.40692
0.002708333,-0.41119
0.00271875,-0.41254
0.002729167,-0.40433
0.002739583,-0.38388
0.00275,-0.35391
0.002760417,-0.31845
0.002770833,-0.2789
0.00278125,-0.2341
0.002791667,-0.18414
0.002802083,-0.13135
0.0028125,-0.07849
0.002822917,-0.02679
0.002833333,0.02356
0.00284375,0.07184
0.002854167,0.11661
0.002864583,0.15683
0.002875,0.19153
0.002885417,0.21954
0.002895833,0.2399
0.00290625,0.25208
0.002916667,0.2562
0.002927083,0.25174
0.0029375,0.23743
0.002947917,0.21304
0.002958333,0.1803
0.00296875,0.14111
0.002979167,0.09579
0.002989583,0.04407
0.003,-0.0126
0.003010417,-0.07144
0.003020833,-0.13217
0.00303125,-0.19724
0.003041667,-0.26566
0.003052083,-0.32751
0.0030625,-0.36819
0.003072917,-0.38132
0.003083333,-0.37558
0.00309375,-0.36694
0.003104167,-0.36438
0.003114583,-0.36545
0.003125,-0.36432
0.003135417,-0.36072
0.003145833,-0.35873
0.00315625,-0.35995
0.003166667,-0.36151
0.003177083,-0.36133
0.0031875,-0.36078
0.003197917,-0.36218
0.003208333,-0.36447
0.00321875,-0.36508
0.003229167,-0.36401
0.003239583,-0.36365
0.00325,-0.36536
0.003260417,-0.36749
0.003270833,-0.36874
0.00328125,-0.37012
0.003291667,-0.37308
0.003302083,-0.37665
0.0033125,-0.37891
0.003322917,-0.38022
0.003333333,-0.38284
0.00334375,-0.38705
0.003354167,-0.39038
0.003364583,-0.3916
0.003375,-0.39355
0.003385417,-0.39899
0.003395833,-0.40421
0.00340625,-0.40012
0.003416667,-0.3808
0.003427083,-0.35016
0.0034375,-0.31772
0.003447917,-0.28955
0.003458333,-0.26434
0.00346875,-0.23849
0.003479167,-0.21179
0.003489583,-0.1871
0.0035,-0.16608
0.003510417,-0.14749
0.003520833,-0.12985
0.00353125,-0.11368
0.003541667,-0.10013
